            Panels  10.5°-65.09m/s    
     -17.7071         -1.667312  
     -17.1213         -1.978399  
     -16.5355         -1.957114  
     -15.9497         -1.823364  
     -15.3639         -1.649623  
     -14.7781          -1.46866  
     -14.1923           -1.2944  
     -13.6065         -1.132707  
     -13.0207        -0.9850736  
     -12.4349        -0.8509836  
     -11.8491        -0.7292763  
     -11.2633        -0.6190585  
     -10.6775        -0.5192403  
     -10.0917        -0.4284708  
      -9.5059        -0.3472044  
    -9.115367        -0.2872017  
      -8.9201           -0.2625  
    -8.724833         -0.236496  
    -8.529567        -0.2120607  
      -8.3343        -0.1894503  
    -8.139033        -0.1685997  
    -7.943767         -0.149372  
      -7.7485        -0.1316649  
    -7.553233        -0.1152546  
    -7.357967       -0.09994976  
      -7.1627       -0.08574372  
    -6.967433       -0.07242523  
    -6.772167       -0.06012984  
      -6.5769       -0.04892601  
    -6.381633       -0.03532748  
    -6.273074       -0.02878455  
    -6.229847       -0.02561514  
    -6.145281       -0.02465222  
    -6.023074        -0.0222755  
    -5.868565       -0.01810697  
    -5.688508       -0.01272378  
    -5.490773       -0.00710679  
       -5.284      -0.001964689  
    -5.077227       0.002277856  
    -4.879492       0.005565434  
    -4.699435       0.008114832  
    -4.544926       0.009871854  
    -4.422719        0.00961375  
    -4.338153       0.006577516  
    -4.294926       -0.00564723  
      -4.1412        0.01285579  
      -3.8556        0.03451485  
        -3.57        0.04158149  
      -3.2844        0.04637086  
      -2.9988        0.05010857  
      -2.7132        0.05314576  
      -2.4276         0.0556211  
       -2.142        0.05764856  
      -1.8564        0.05932384  
      -1.5708        0.06067383  
      -1.2852        0.06175798  
      -0.9996         0.0626353  
       -0.714        0.06333212  
      -0.4284        0.06387017  
      -0.1428         0.0618924  
       0.1428         0.0618924  
       0.4284        0.06387017  
        0.714        0.06333212  
       0.9996         0.0626353  
       1.2852        0.06175798  
       1.5708        0.06067383  
       1.8564        0.05932384  
        2.142        0.05764856  
       2.4276         0.0556211  
       2.7132        0.05314576  
       2.9988        0.05010857  
       3.2844        0.04637086  
         3.57        0.04158149  
       3.8556        0.03451485  
       4.1412        0.01285579  
     4.294926      -0.005648201  
     4.338153       0.006577247  
     4.422719       0.009613646  
     4.544926       0.009871802  
     4.699435       0.008114801  
     4.879492       0.005565416  
     5.077227       0.002277845  
        5.284      -0.001964696  
     5.490773      -0.007106794  
     5.688508       -0.01272378  
     5.868565       -0.01810697  
     6.023074        -0.0222755  
     6.145281       -0.02465221  
     6.229847       -0.02561513  
     6.273074       -0.02878454  
     6.381633       -0.03532748  
       6.5769       -0.04892601  
     6.772167       -0.06012984  
     6.967433       -0.07242523  
       7.1627       -0.08574372  
     7.357967       -0.09994976  
     7.553233        -0.1152546  
       7.7485        -0.1316649  
     7.943767         -0.149372  
     8.139033        -0.1685997  
       8.3343        -0.1894503  
     8.529567        -0.2120607  
     8.724833         -0.236496  
       8.9201           -0.2625  
     9.115367        -0.2872017  
       9.5059        -0.3472044  
      10.0917        -0.4284708  
      10.6775        -0.5192403  
      11.2633        -0.6190585  
      11.8491        -0.7292763  
      12.4349        -0.8509836  
      13.0207        -0.9850736  
      13.6065         -1.132707  
      14.1923           -1.2944  
      14.7781          -1.46866  
      15.3639         -1.649623  
      15.9497         -1.823364  
      16.5355         -1.957114  
      17.1213         -1.978399  
      17.7071         -1.667312  

